id,pii_type,value,bbox,annotator
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",0
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.2952531576156616, 0.30818793177604675, 0.3392745181918144, 0.3200027719140053)",0
f/j/b/w/fjbw0138_page1,Organization Name,Now,"(0.48036280274391174, 0.7172247171401978, 0.5210785679519176, 0.7306561134755611)",0
f/j/b/w/fjbw0138_page1,Organization Name,Virginia Slims,"(0.5256613492965698, 0.7167349457740784, 0.6417238749563694, 0.731622071005404)",0
f/j/b/w/fjbw0138_page1,Organization Name,Merit Ultima,"(0.6482152938842773, 0.718106746673584, 0.7461890839040279, 0.7301292577758431)",0
f/j/b/w/fjbw0138_page1,Date,09/03/96,"(0.5640695691108704, 0.8477923274040222, 0.6361344307661057, 0.8597503351047635)",0
f/j/b/w/fjbw0138_page1,Contract Number,C #2311 (CC),"(0.5643104314804077, 0.8313854932785034, 0.6766306273639202, 0.8462249394506216)",0
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",1
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.2952531576156616, 0.30818793177604675, 0.3392745181918144, 0.3200027719140053)",1
f/j/b/w/fjbw0138_page1,Organization Name,Now,"(0.48036280274391174, 0.7172247171401978, 0.5210785679519176, 0.7306561134755611)",1
f/j/b/w/fjbw0138_page1,Organization Name,Virginia Slims,"(0.5256613492965698, 0.7167349457740784, 0.6417238749563694, 0.731622071005404)",1
f/j/b/w/fjbw0138_page1,Organization Name,Merit Ultima,"(0.6482152938842773, 0.718106746673584, 0.7461890839040279, 0.7301292577758431)",1
f/j/b/w/fjbw0138_page1,Organization Name,Marlboro,"(0.22332313656806946, 0.7323762774467468, 0.29987795650959015, 0.7440295163542032)",1
f/j/b/w/fjbw0138_page1,Date,09/03/96,"(0.5640695691108704, 0.8477923274040222, 0.6361344307661057, 0.8597503351047635)",1
f/j/b/w/fjbw0138_page1,Contract Number,C #2311 (CC),"(0.5643104314804077, 0.8313854932785034, 0.6766306273639202, 0.8462249394506216)",1
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",2
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.264928936958313, 0.23214949667453766, 0.3843414857983589, 0.24768872186541557)",2
f/j/b/w/fjbw0138_page1,Organization Name,Virginia Slims,"(0.5256613492965698, 0.7167349457740784, 0.6417238749563694, 0.731622071005404)",2
f/j/b/w/fjbw0138_page1,Organization Name,Merit Ultima,"(0.6482152938842773, 0.718106746673584, 0.7461890839040279, 0.7301292577758431)",2
f/j/b/w/fjbw0138_page1,Organization Name,Marlboro,"(0.22332313656806946, 0.7323762774467468, 0.29987795650959015, 0.7440295163542032)",2
f/j/b/w/fjbw0138_page1,Date,09/03/96,"(0.5640695691108704, 0.8477923274040222, 0.6361344307661057, 0.8597503351047635)",2
f/j/b/w/fjbw0138_page1,Contract Number,C #2311 (CC),"(0.5643104314804077, 0.8313854932785034, 0.6766306273639202, 0.8462249394506216)",2
f/j/b/w/fjbw0138_page1,Contract Number,621915825,"(0.686374306678772, 0.8674290180206299, 0.83902508020401, 0.8833270482718945)",2
